Number,Column,Description,Type,Values
0,student_id,Student's id,Numeric,Auto Generated
1,school,Student's school,Binary,"GP (Gabriel Pereira); MS (Mousinho da Silveira)"
2,gender,Student's gender,Binary,"F (female); M (male)"
3,age,Student's age,Numeric,"15–22"
4,address_type,Student's home address type,Binary,"Urban; Rural"
5,family_size,Family size,Binary,"Less or equal to 3; Greater than 3"
6,parent_status,Parent's cohabitation status,Binary,"Living together; Apart"
7,mother_education,Mother's education,Ordinal,"none; primary (4th grade); 5th–9th grade; secondary; higher education"
8,father_education,Father's education,Ordinal,"none; primary (4th grade); 5th–9th grade; secondary; higher education"
9,mother_job,Mother's job,Nominal,"teacher; health; services; at_home; other"
10,father_job,Father's job,Nominal,"teacher; health; services; at_home; other"
11,school_reason,Reason to choose school,Nominal,"home; reputation; course; other"
12,guardian,Student's guardian,Nominal,"mother; father; other"
13,travel_time,Home to school travel time,Ordinal,"<15 min; 15–30 min; 30–60 min; >1 hour"
14,study_time,Weekly study time,Ordinal,"<2 hours; 2–5 hours; 5–10 hours; >10 hours"
15,class_failures,Number of past class failures,Numeric,"0–3 (4 means 4 or more)"
16,school_support,Extra educational support,Binary,"yes; no"
17,family_support,Family educational support,Binary,"yes; no"
18,extra_paid_classes,Extra paid classes,Binary,"yes; no"
19,activities,Extra-curricular activities,Binary,"yes; no"
20,nursery,Attended nursery school,Binary,"yes; no"
21,higher_education,Wants higher education,Binary,"yes; no"
22,internet,Internet access at home,Binary,"yes; no"
23,romantic_relationship,Romantic relationship,Binary,"yes; no"
24,family_relationship,Quality of family relationships,Numeric,"1 (very bad) to 5 (excellent)"
25,free_time,Free time after school,Numeric,"1 (very low) to 5 (very high)"
26,social,Going out with friends,Numeric,"1 (very low) to 5 (very high)"
27,weekday_alcohol,Workday alcohol consumption,Numeric,"1 (very low) to 5 (very high)"
28,weekend_alcohol,Weekend alcohol consumption,Numeric,"1 (very low) to 5 (very high)"
29,health,Current health status,Numeric,"1 (very bad) to 5 (very good)"
30,absences,Number of school absences,Numeric,"0–93"
31,grade_1,First period grade,Numeric,"0–20"
32,grade_2,Second period grade,Numeric,"0–20"
33,final_grade,Final grade (target),Numeric,"0–20"
